camera,kf_distance,kf_velocity,ego_vx
1759902489864457424,6.2562,-0.0079,5.96
1759902489916349223,6.254,-0.0094,5.8809
1759902489965083577,6.2495,-0.0128,5.8375
1759902490012962141,6.2462,-0.015,5.7889
1759902490056321957,6.2409,-0.0188,5.7563
1759902490101340553,6.237,-0.0212,5.7232
1759902490181332570,6.2212,-0.0343,5.6318
1759902490234720879,6.2072,-0.0454,5.5492
1759902490290444147,6.1909,-0.0579,5.4658
1759902490334839435,6.1949,-0.0522,5.4499
1759902490380450069,6.1857,-0.0579,5.3932
1759902490419293973,6.1735,-0.0658,5.3379
1759902490458983377,6.1617,-0.0729,5.3063
1759902490528431820,6.1516,-0.0774,5.2651
1759902490553754727,6.1468,-0.0796,5.2505
1759902490608203156,6.1447,-0.0777,5.19
1759902490655222674,6.1437,-0.0755,5.1371
1759902490706538496,6.1429,-0.0729,5.0953
1759902490756522340,6.1425,-0.0701,5.0585
1759902490806573172,6.1423,-0.0672,5.0192
1759902490856058006,6.1393,-0.067,4.9765
1759902490905347267,6.1281,-0.0738,4.9397
1759902490958496321,6.1229,-0.0749,4.8957
1759902491000851994,6.1198,-0.0748,4.8638
1759902491080198652,6.1095,-0.079,4.8125
1759902491131558848,6.1038,-0.0806,4.7706
1759902491189598648,6.0963,-0.0833,4.6872
1759902491236179620,6.0917,-0.0839,4.6709
1759902491275856270,6.0888,-0.0835,4.6457
1759902491327516979,6.0862,-0.0821,4.5862
1759902491379376055,6.0874,-0.0774,4.5558
1759902491419529764,6.089,-0.0735,4.5385
1759902491478666063,6.0863,-0.0721,4.5164
1759902491515851367,6.0825,-0.073,4.515
1759902491568276622,6.0851,-0.0676,4.4773
1759902491618399141,6.0933,-0.0577,4.4517
1759902491664857549,6.0874,-0.0604,4.4317
1759902491715318853,6.077,-0.0667,4.399
1759902491769166808,6.0693,-0.0703,4.3767
1759902491811193686,6.0615,-0.0744,4.3454
1759902491872297673,6.0579,-0.0736,4.3099
1759902491907825670,6.0537,-0.0749,4.2987
1759902491951299724,6.0503,-0.075,4.2882
1759902492002432557,6.0505,-0.0715,4.2805
1759902492051623831,6.0479,-0.0708,4.278
1759902492132155687,6.0415,-0.0714,4.2466
1759902492186552768,6.0384,-0.0707,4.2233
1759902492231846378,6.0367,-0.0694,4.195
1759902492287804112,6.0319,-0.0702,4.1538
1759902492337995561,6.0228,-0.0752,4.1448
1759902492375441633,6.02,-0.0752,4.1345
1759902492421774131,6.0145,-0.0768,4.1084
1759902492466433373,6.0078,-0.0795,4.1038
1759902492520537246,5.9994,-0.0829,4.0843
1759902492569701188,5.9937,-0.0843,4.0721
1759902492610114141,5.9872,-0.0869,4.0823
1759902492657218089,5.9792,-0.0901,4.0803
1759902492733300158,5.9685,-0.0937,4.0376
1759902492761952027,5.9641,-0.0952,4.0203
1759902492809795244,5.9567,-0.0976,4.0043
1759902492882678108,5.9466,-0.1004,3.982
1759902492912129170,5.9395,-0.1038,3.9809
1759902492957066571,5.9334,-0.105,3.9932
1759902493000744163,5.9292,-0.1047,4.0771
1759902493075367643,5.9178,-0.108,4.2026
1759902493122600597,5.9119,-0.1088,4.2975
1759902493178935229,5.9102,-0.1048,4.4608
1759902493219497406,5.9071,-0.1037,4.5792
1759902493267896953,5.9045,-0.1017,4.7249
1759902493318573216,5.8996,-0.1015,4.8815
1759902493367818073,5.8962,-0.1001,5.0459
1759902493419692989,5.8937,-0.0977,5.2166
1759902493467249510,5.8924,-0.0949,5.3835
1759902493516207129,5.8915,-0.0917,5.5472
1759902493564203998,5.891,-0.0883,5.7064
1759902493614352577,5.8876,-0.0874,5.8734
1759902493667077643,5.8851,-0.0855,6.0631
1759902493713509421,5.8868,-0.0806,6.2176
1759902493763113652,5.8911,-0.0735,6.3876
1759902493804412913,5.8976,-0.0655,6.5286
1759902493854863577,5.9051,-0.0564,6.6846
1759902493906470613,5.9136,-0.0465,6.8311
1759902493957004305,5.923,-0.0362,6.9769
1759902494002285681,5.924,-0.034,7.103
1759902494072032222,5.9242,-0.0315,7.3244
1759902494117789445,5.925,-0.0295,7.4431
1759902494167546086,5.9255,-0.0278,7.6016
